symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00009000,-0.165,0.05432552,0.05444000,0.05435000,0.11050000,0.05434000,58.14020000,0.05435000,23.66500000,0.05444000,0.05483000,0.05388000,42492.65880000,2308.43591545,1697729087630,1697815487630,424086853,424140257,53405
LTCBTC,0.00000800,0.373,0.00214291,0.00214500,0.00215200,0.37200000,0.00215100,6.41600000,0.00215200,277.83400000,0.00214400,0.00216000,0.00212100,37997.47300000,81.42504151,1697729084007,1697815484007,93822763,93832161,9399
BNBBTC,-0.00015600,-2.116,0.00727147,0.00737100,0.00721600,0.46900000,0.00721600,10.95400000,0.00721700,44.23500000,0.00737200,0.00738200,0.00715000,37158.44100000,270.19635795,1697729078826,1697815478826,227895091,227933968,38878
NEOBTC,-0.00000250,-1.076,0.00022986,0.00023240,0.00022980,0.71000000,0.00022970,80.11000000,0.00022990,54.81000000,0.00023230,0.00023240,0.00022650,30252.64000000,6.95391924,1697729087121,1697815487121,45562564,45564255,1692
QTUMETH,0.00003200,2.356,0.00138644,0.00136200,0.00139000,62.10000000,0.00138800,61.40000000,0.00139600,21.90000000,0.00135800,0.00140000,0.00135200,1252.40000000,1.73637960,1697728996920,1697815396920,5404054,5404100,47
EOSETH,0.00000000,0.000,0.00034345,0.00034220,0.00034180,1715.50000000,0.00034160,739.40000000,0.00034220,125.60000000,0.00034180,0.00034640,0.00033920,24189.10000000,8.30775872,1697729085396,1697815485396,23503138,23503358,221
SNTETH,0.00000060,3.819,0.00001625,0.00001553,0.00001631,568.00000000,0.00001617,3851.00000000,0.00001624,7482.00000000,0.00001571,0.00001682,0.00001556,1585915.00000000,25.76489678,1697729029638,1697815429638,3918757,3919077,321
BNTETH,-0.00000490,-1.296,0.00037294,0.00037590,0.00037320,103.70000000,0.00037260,167.00000000,0.00037340,42.80000000,0.00037810,0.00038750,0.00036430,93711.30000000,34.94877359,1697729088613,1697815488613,2255886,2256651,766
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
GASBTC,0.00000000,0.000,0.00007877,0.00007920,0.00007910,276.40000000,0.00007910,102.50000000,0.00007920,187.80000000,0.00007910,0.00007990,0.00007730,11756.30000000,0.92607663,1697729074605,1697815474605,20855931,20856668,738
BNBETH,-0.00270000,-1.994,0.13381365,0.13550000,0.13270000,2.51300000,0.13270000,1.34800000,0.13280000,2.07700000,0.13540000,0.13550000,0.13240000,8522.78900000,1140.46553400,1697729080226,1697815480226,56516533,56523751,7219
BTCUSDT,970.89000000,3.395,29325.92273503,28597.21000000,29568.10000000,0.03858000,29568.10000000,3.02247000,29568.11000000,10.45699000,28597.21000000,30207.55000000,28457.56000000,63300.33590000,1856340759.70509870,1697729089121,1697815489121,3245547302,3247674509,2127208
ETHUSDT,50.07000000,3.215,1592.59522182,1557.21000000,1607.28000000,3.24690000,1607.28000000,71.52370000,1607.29000000,69.64130000,1557.21000000,1630.40000000,1556.54000000,336886.61410000,536524011.90929100,1697729088863,1697815488863,1212170513,1212856295,685783
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
WTCBTC,-0.00000005,-0.992,0.00000504,0.00000503,0.00000499,81.00000000,0.00000499,84.00000000,0.00000502,478.00000000,0.00000504,0.00000517,0.00000493,283238.00000000,1.42799143,1697728860201,1697815260201,20246775,20247256,482
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
LRCBTC,0.00000006,1.070,0.00000563,0.00000561,0.00000567,52.00000000,0.00000565,17087.00000000,0.00000567,4517.00000000,0.00000561,0.00000568,0.00000557,290018.00000000,1.63162493,1697729078990,1697815478990,22128570,22128899,330
LRCETH,0.00000149,1.451,0.00010341,0.00010292,0.00010416,2857.00000000,0.00010394,598.00000000,0.00010441,1667.00000000,0.00010267,0.00010469,0.00010206,18304.00000000,1.89288367,1697729073898,1697815473898,4720520,4720574,55
QTUMBTC,0.00000140,1.889,0.00007505,0.00007410,0.00007550,174.80000000,0.00007540,7.10000000,0.00007560,424.70000000,0.00007410,0.00007620,0.00007380,9366.70000000,0.70295390,1697729083791,1697815483791,24090401,24091013,613
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ZRXBTC,-0.00000023,-3.134,0.00000717,0.00000729,0.00000711,453.00000000,0.00000710,720.00000000,0.00000712,3101.00000000,0.00000734,0.00000737,0.00000697,463416.00000000,3.32054365,1697729081748,1697815481748,25447347,25448509,1163
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
